family,name,directed,weighted
Language,'G_Austen_nouns',1,1
Language,'G_Blake_nouns',1,1
Language,'G_Cervantes_nouns',1,1
Language,'G_Homer_nouns',1,1
Language,'G_Plato_nouns',1,1
Language,'G_Shakespeare_nouns',1,1
Language,'G_Whitman_nouns',1,1
Semantic,'G_Bible',0,0
Semantic,'G_Edinburgh',1,0
Semantic,'G_FOLDOC',1,0
Semantic,'G_GoT',0,1
Semantic,'G_LesMis',0,0
Semantic,'G_ODLIS',1,0
Semantic,'G_Roget',1,0
Semantic,'G_algebra',0,1
Semantic,'G_glossary',0,0
Web,'G_EPA',0,0
Web,'G_Google',1,0
Web,'G_Indochina',0,0
Web,'G_blogs',1,0
Web,'G_edu',0,0
Web,'G_spam',0,0
Web,'G_webbase',0,0
Citation,'G_HepPh',1,0
Citation,'G_HepTh',1,0
Citation,'G_cora',1,0
Citation,'G_dblp',1,0
Social,'G_AstroPh',0,0
Social,'G_Facebook',0,0
Social,'G_HepTh',0,1
Social,'G_health',1,0
Social,'G_highschool',1,0
Social,'G_jazz',0,0
Social,'G_karate',0,0
Music,'G_Africa',1,0
Music,'G_Beethoven',1,0
Music,'G_Bohemian',1,0
Music,'G_Brahms',1,0
Music,'G_Chopin',1,0
Music,'G_Clavier',1,0
Music,'G_HardDays',1,0
Music,'G_Mozart',1,0
Music,'G_Thriller',1,0
Brain,'G_FC_1',0,1
Brain,'G_FC_2',0,1
Brain,'G_FC_3',0,1
Brain,'G_FC_4',0,1
Brain,'G_FC_5',0,1
Brain,'G_SC_1',1,1
Brain,'G_SC_2',1,1
Brain,'G_SC_3',1,1
Brain,'G_SC_4',1,1
Brain,'G_SC_5',1,1
Animal,'G_dolphins',0,0
Animal,'G_lake',0,0
Animal,'G_macaques',0,1
Animal,'G_sheep',0,1
Animal,'G_wetlands',1,1
Animal,'G_zebras',0,0
Protein,'G_Celegans',0,0
Protein,'G_human_Figeys',0,0
Protein,'G_human_Stelzl',1,0
Protein,'G_yeast',0,0
Transportation,'G_Bay',0,0
Transportation,'G_Chicago',1,0
Transportation,'G_EuroRoad',0,0
Transportation,'G_NYC',0,0
Transportation,'G_OpenFlights',1,0
Transportation,'G_USA',1,1
